Designator,Mid X,Mid Y,Rotation,Layer
SW61,135.00625,-147.605,0.0,top
SW62,361.225,-109.505,180.0,top
SW63,125.48125,-147.605,180.0,top
SW64,389.8,-147.605,180.0,top
SW66,75.46,-147.605,180.0,top
SW67,94.51,-147.605,180.0,top
SW68,146.9125,-147.605,180.0,top
SW69,165.9625,-147.605,180.0,top
SW7,161.2,-90.455,180.0,top
SW70,185.0125,-147.605,180.0,top
SW71,204.0625,-147.605,180.0,top
SW72,223.1125,-147.605,180.0,top
SW73,242.1625,-147.605,180.0,top
SW74,261.2125,-147.605,180.0,top
SW75,280.2625,-147.605,180.0,top
SW76,299.3125,-147.605,180.0,top
SW77,318.3625,-147.605,180.0,top
SW78,418.36,-147.605,180.0,top
SW79,437.41,-147.605,180.0,top
SW8,180.25,-90.455,180.0,top
SW80,456.46,-147.605,180.0,top
SW81,75.46,-166.655,180.0,top
SW82,94.51,-166.655,180.0,top
SW83,163.41375,-166.655,180.0,top
SW84,184.845,-166.655,180.0,top
SW85,256.2825,-166.655,180.0,top
SW86,327.72,-166.655,180.0,top
SW87,349.15125,-166.655,180.0,top
SW88,418.36,-166.655,180.0,top
SW89,437.41,-166.655,180.0,top
SW9,199.3,-90.455,180.0,top
SW90,456.46,-166.655,180.0,top
SW96,373.13125,-147.605,180.0,top
SW97,363.60625,-147.605,0.0,top
U1,231.7,-167.7,0.0,bottom
U2,278.86,-166.63,0.0,bottom
U3,109.215,-101.395,180.0,bottom
Y1,240.04,-166.45,90.0,bottom
